CMDLINE /usr/local/opt/python@2/bin/python2.7 test_lib2.py
MEM 89.164062 1543730823.1007
MEM 89.164062 1543730823.2031
MEM 89.164062 1543730823.3065
MEM 89.164062 1543730823.4102
MEM 89.164062 1543730823.5115
MEM 89.164062 1543730823.6117
MEM 89.164062 1543730823.7123
MEM 89.164062 1543730823.8126
MEM 89.164062 1543730823.9159
MEM 89.164062 1543730824.0168
MEM 89.164062 1543730824.1214
MEM 89.164062 1543730824.2230
MEM 89.164062 1543730824.3237
MEM 89.164062 1543730824.4287
MEM 89.164062 1543730824.5290
MEM 89.164062 1543730824.6293
MEM 89.164062 1543730824.7338
MEM 89.164062 1543730824.8379
MEM 89.164062 1543730824.9384
MEM 89.164062 1543730825.0436
MEM 89.164062 1543730825.1473
MEM 89.164062 1543730825.2505
MEM 89.164062 1543730825.3510
MEM 89.164062 1543730825.4524
MEM 89.164062 1543730825.5532
MEM 89.164062 1543730825.6582
MEM 89.164062 1543730825.7629
MEM 89.164062 1543730825.8638
MEM 89.164062 1543730825.9651
MEM 89.164062 1543730826.0658
MEM 89.164062 1543730826.1710
MEM 89.164062 1543730826.2714
MEM 89.164062 1543730826.3759
MEM 89.164062 1543730826.4798
MEM 89.164062 1543730826.5804
MEM 89.164062 1543730826.6842
MEM 89.164062 1543730826.7858
MEM 89.164062 1543730826.8910
MEM 89.164062 1543730826.9917
MEM 89.164062 1543730827.0953
MEM 89.164062 1543730827.1960
MEM 89.164062 1543730827.2973
MEM 89.164062 1543730827.4025
MEM 89.164062 1543730827.5044
MEM 89.164062 1543730827.6096
MEM 89.164062 1543730827.7126
MEM 89.164062 1543730827.8130
MEM 89.164062 1543730827.9134
MEM 89.164062 1543730828.0183
MEM 89.164062 1543730828.1213
MEM 89.164062 1543730828.2238
MEM 89.164062 1543730828.3244
MEM 89.164062 1543730828.4271
MEM 89.164062 1543730828.5284
MEM 89.164062 1543730828.6302
MEM 89.164062 1543730828.7316
MEM 89.164062 1543730828.8341
MEM 89.164062 1543730828.9378
MEM 89.164062 1543730829.0423
MEM 89.164062 1543730829.1460
MEM 89.164062 1543730829.2464
MEM 89.164062 1543730829.3472
MEM 89.164062 1543730829.4475
MEM 89.164062 1543730829.5511
MEM 89.164062 1543730829.6525
MEM 89.164062 1543730829.7533
MEM 89.164062 1543730829.8557
MEM 89.164062 1543730829.9581
MEM 89.164062 1543730830.0611
MEM 89.164062 1543730830.1625
MEM 89.164062 1543730830.2628
MEM 89.164062 1543730830.3634
MEM 89.164062 1543730830.4638
MEM 89.164062 1543730830.5642
MEM 89.164062 1543730830.6656
MEM 89.164062 1543730830.7709
MEM 89.164062 1543730830.8713
MEM 89.164062 1543730830.9763
MEM 89.164062 1543730831.0771
MEM 89.164062 1543730831.1800
